"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045111","GO:0045111","intermediate filament cytoskeleton","8/66","11/612",1.55541016465534e-06,0.00320414493919,NA,"F6VE52/F6SS14/A0A5F5PYS7/A0A3Q2I854/F6WGX6/A0A3Q2L5E0/A0A3Q2LCW0/A0A5F5PQE5",8
"GO:0005882","GO:0005882","intermediate filament","7/66","9/612",3.80520380587875e-06,0.00391935992005511,NA,"F6VE52/F6SS14/A0A5F5PYS7/A0A3Q2I854/F6WGX6/A0A3Q2L5E0/A0A3Q2LCW0",7
"GO:0045095","GO:0045095","keratin filament","6/66","7/612",8.17429330298623e-06,0.00561301473471721,NA,"F6VE52/F6SS14/A0A5F5PYS7/A0A3Q2I854/F6WGX6/A0A3Q2LCW0",6
"GO:0045103","GO:0045103","intermediate filament-based process","4/66","6/612",0.00157581037086451,0.385978360511839,NA,"F6VE52/A0A3Q2I854/A0A3Q2L5E0/A0A5F5PQE5",4
"GO:0045104","GO:0045104","intermediate filament cytoskeleton organization","4/66","6/612",0.00157581037086451,0.385978360511839,NA,"F6VE52/A0A3Q2I854/A0A3Q2L5E0/A0A5F5PQE5",4
"GO:0099513","GO:0099513","polymeric cytoskeletal fiber","10/66","34/612",0.00173084826565271,0.385978360511839,NA,"F6VE52/F6SS14/F6X0P8/A0A5F5PYS7/A0A3Q2I854/F6WGX6/A0A3Q2L5E0/A0A3Q2LCW0/A0A3Q2GYQ4/F7D3K4",10
"GO:0051172","GO:0051172","negative regulation of nitrogen compound metabolic process","15/66","65/612",0.00185455065437653,0.385978360511839,NA,"P38029/F6SCX8/F7B9X5/A0A5F5PH20/Q29482/A0A3Q2LPE6/A0A5F5PQE5/F7BTK9/A0A3Q2LDG0/F7DRS2/A0A3Q2GYQ4/A0A3Q2GZB6/F6SMZ4/A2Q0Z1/A0A3Q2HD15",15
"GO:0006096","GO:0006096","glycolytic process","5/66","10/612",0.00206880054025987,0.385978360511839,NA,"A0A3Q2GXL1/F6YV40/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78",5
"GO:0006165","GO:0006165","nucleoside diphosphate phosphorylation","5/66","10/612",0.00206880054025987,0.385978360511839,NA,"A0A3Q2GXL1/F6YV40/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78",5
"GO:0006757","GO:0006757","ATP generation from ADP","5/66","10/612",0.00206880054025987,0.385978360511839,NA,"A0A3Q2GXL1/F6YV40/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78",5
"GO:0046939","GO:0046939","nucleotide phosphorylation","5/66","10/612",0.00206880054025987,0.385978360511839,NA,"A0A3Q2GXL1/F6YV40/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78",5
"GO:0009056","GO:0009056","catabolic process","20/66","101/612",0.00224841763404955,0.385978360511839,NA,"A0A3Q2GXL1/F6SCX8/F6YV40/F7B9X5/Q29482/A0A3Q2LPE6/A0A3Q2I6E8/A0A5F5PEE6/F6ZE54/A0A3Q2GSM3/F7BXA6/A0A3Q2GZB6/Q8MKD1/A2Q0Z1/F7A1W7/F7D3K4/A0A3Q2HN78/A0A5F5PLR4/A0A3Q2HD15/F6S6J4",20
"GO:0006090","GO:0006090","pyruvate metabolic process","5/66","11/612",0.00347731871271735,0.39340209606682,NA,"A0A3Q2GXL1/F6YV40/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78",5
"GO:0009132","GO:0009132","nucleoside diphosphate metabolic process","5/66","11/612",0.00347731871271735,0.39340209606682,NA,"A0A3Q2GXL1/F6YV40/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78",5
"GO:0009135","GO:0009135","purine nucleoside diphosphate metabolic process","5/66","11/612",0.00347731871271735,0.39340209606682,NA,"A0A3Q2GXL1/F6YV40/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78",5
"GO:0009179","GO:0009179","purine ribonucleoside diphosphate metabolic process","5/66","11/612",0.00347731871271735,0.39340209606682,NA,"A0A3Q2GXL1/F6YV40/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78",5
"GO:0009185","GO:0009185","ribonucleoside diphosphate metabolic process","5/66","11/612",0.00347731871271735,0.39340209606682,NA,"A0A3Q2GXL1/F6YV40/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78",5
"GO:0046031","GO:0046031","ADP metabolic process","5/66","11/612",0.00347731871271735,0.39340209606682,NA,"A0A3Q2GXL1/F6YV40/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78",5
"GO:1901575","GO:1901575","organic substance catabolic process","17/66","83/612",0.00362846593459688,0.39340209606682,NA,"A0A3Q2GXL1/F6YV40/F7B9X5/Q29482/A0A3Q2LPE6/A0A5F5PEE6/F6ZE54/A0A3Q2GSM3/F7BXA6/A0A3Q2GZB6/Q8MKD1/A2Q0Z1/F7A1W7/F7D3K4/A0A3Q2HN78/A0A5F5PLR4/A0A3Q2HD15",17
"GO:0051248","GO:0051248","negative regulation of protein metabolic process","12/66","51/612",0.00483304595893783,0.497803733770596,NA,"P38029/F6SCX8/F7B9X5/Q29482/A0A3Q2LPE6/A0A5F5PQE5/F7BTK9/A0A3Q2LDG0/F7DRS2/A0A3Q2GZB6/F6SMZ4/A0A3Q2HD15",12
"GO:0000302","GO:0000302","response to reactive oxygen species","5/66","12/612",0.00546605128804357,0.511821166062262,NA,"F7B9X5/A0A3Q2I6E8/A0A5F5PEE6/A0A3Q2HH95/F6S6J4",5
"GO:0016052","GO:0016052","carbohydrate catabolic process","5/66","12/612",0.00546605128804357,0.511821166062262,NA,"A0A3Q2GXL1/F6YV40/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78",5
"GO:0010605","GO:0010605","negative regulation of macromolecule metabolic process","16/66","80/612",0.00633793393667044,0.567658430849613,NA,"P38029/F6SCX8/F7B9X5/A0A5F5PH20/Q29482/F7C0D2/A0A3Q2LPE6/A0A5F5PQE5/F7BTK9/A0A3Q2LDG0/F7DRS2/A0A3Q2GYQ4/A0A3Q2GZB6/F6SMZ4/A2Q0Z1/A0A3Q2HD15",16
"GO:0009892","GO:0009892","negative regulation of metabolic process","17/66","88/612",0.00702125930291155,0.589124629002341,NA,"P38029/F6SCX8/F7B9X5/A0A5F5PH20/Q29482/F7C0D2/A0A3Q2LPE6/A0A5F5PQE5/F7BTK9/A0A3Q2I9F2/A0A3Q2LDG0/F7DRS2/A0A3Q2GYQ4/A0A3Q2GZB6/F6SMZ4/A2Q0Z1/A0A3Q2HD15",17
"GO:0033554","GO:0033554","cellular response to stress","13/66","60/612",0.00714957074031968,0.589124629002341,NA,"F6SCX8/F7B9X5/A0A5F5PH20/Q29482/A0A5F5PQE5/F7BTK9/A0A3Q2I6E8/A0A5F5PEE6/A0A3Q2HH95/F7BXA6/A2Q0Z1/F7D3K4/F6S6J4",13
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","7/66","24/612",0.00962388731838186,0.608879557415835,NA,"A0A3Q2GXL1/F6YV40/A0A5F5PL33/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78/A0A5F5PLR4",7
"GO:0009117","GO:0009117","nucleotide metabolic process","7/66","24/612",0.00962388731838186,0.608879557415835,NA,"A0A3Q2GXL1/F6YV40/A0A5F5PL33/F6ZE54/A0A3Q2GSM3/A0A3Q2HN78/A0A5F5PLR4",7
"GO:0042744","GO:0042744","hydrogen peroxide catabolic process","3/66","5/612",0.0102452949906006,0.608879557415835,NA,"A0A3Q2I6E8/A0A5F5PEE6/F6S6J4",3
"GO:0045109","GO:0045109","intermediate filament organization","3/66","5/612",0.0102452949906006,0.608879557415835,NA,"A0A3Q2I854/A0A3Q2L5E0/A0A5F5PQE5",3
"GO:0097237","GO:0097237","cellular response to toxic substance","3/66","5/612",0.0102452949906006,0.608879557415835,NA,"A0A3Q2I6E8/A0A5F5PEE6/F6S6J4",3
"GO:0098754","GO:0098754","detoxification","3/66","5/612",0.0102452949906006,0.608879557415835,NA,"A0A3Q2I6E8/A0A5F5PEE6/F6S6J4",3
"GO:0098869","GO:0098869","cellular oxidant detoxification","3/66","5/612",0.0102452949906006,0.608879557415835,NA,"A0A3Q2I6E8/A0A5F5PEE6/F6S6J4",3
"GO:1990748","GO:1990748","cellular detoxification","3/66","5/612",0.0102452949906006,0.608879557415835,NA,"A0A3Q2I6E8/A0A5F5PEE6/F6S6J4",3
"GO:0034614","GO:0034614","cellular response to reactive oxygen species","4/66","9/612",0.0102745547965767,0.608879557415835,NA,"F7B9X5/A0A3Q2I6E8/A0A5F5PEE6/F6S6J4",4
"GO:0032269","GO:0032269","negative regulation of cellular protein metabolic process","11/66","49/612",0.0103450410240555,0.608879557415835,NA,"P38029/F6SCX8/F7B9X5/A0A3Q2LPE6/A0A5F5PQE5/F7BTK9/A0A3Q2LDG0/F7DRS2/A0A3Q2GZB6/F6SMZ4/A0A3Q2HD15",11
"GO:0062197","GO:0062197","cellular response to chemical stress","6/66","19/612",0.0109846919363598,0.615316914244666,NA,"F7B9X5/A0A5F5PQE5/A0A3Q2I6E8/A0A5F5PEE6/A0A3Q2HH95/F6S6J4",6
"GO:0031324","GO:0031324","negative regulation of cellular metabolic process","14/66","70/612",0.0110518086539091,0.615316914244666,NA,"P38029/F6SCX8/F7B9X5/A0A5F5PH20/A0A3Q2LPE6/A0A5F5PQE5/F7BTK9/A0A3Q2I9F2/A0A3Q2LDG0/F7DRS2/A0A3Q2GZB6/F6SMZ4/A2Q0Z1/A0A3Q2HD15",14
